"Date","Price","Open","High","Low","Vol.","Change %"
"05/31/2024","16,800.0","16,900.0","16,950.0","16,700.0","4.88M","-0.30%"
"05/30/2024","16,850.0","16,650.0","16,900.0","16,500.0","8.31M","0.00%"
"05/29/2024","16,850.0","16,850.0","17,150.0","16,750.0","8.48M","0.30%"
"05/28/2024","16,800.0","16,750.0","16,950.0","16,650.0","5.13M","1.51%"
"05/27/2024","16,550.0","16,700.0","16,800.0","16,450.0","6.06M","-0.90%"
"05/24/2024","16,700.0","17,250.0","17,500.0","16,350.0","14.82M","-4.02%"
"05/23/2024","17,400.0","17,550.0","17,550.0","17,200.0","7.12M","-0.57%"
"05/22/2024","17,500.0","17,250.0","17,750.0","17,150.0","16.27M","1.45%"
"05/21/2024","17,250.0","17,400.0","17,400.0","17,000.0","8.91M","-0.86%"
"05/20/2024","17,400.0","17,600.0","17,700.0","17,350.0","9.28M","0.00%"
"05/17/2024","17,400.0","17,350.0","17,500.0","17,150.0","9.35M","0.87%"
"05/16/2024","17,250.0","17,300.0","17,500.0","17,150.0","8.21M","0.88%"
"05/15/2024","17,100.0","17,150.0","17,300.0","17,000.0","8.53M","0.00%"
"05/14/2024","17,100.0","16,900.0","17,200.0","16,800.0","8.00M","1.48%"
"05/13/2024","16,850.0","16,850.0","17,000.0","16,600.0","5.49M","0.30%"
"05/10/2024","16,800.0","16,800.0","17,000.0","16,550.0","8.58M","1.20%"
"05/09/2024","16,600.0","17,000.0","17,100.0","16,550.0","6.49M","-1.78%"
"05/08/2024","16,900.0","16,800.0","17,150.0","16,500.0","12.07M","-0.59%"
"05/07/2024","17,000.0","17,100.0","17,150.0","16,800.0","5.35M","-0.58%"
"05/06/2024","17,100.0","16,500.0","17,100.0","16,500.0","10.39M","4.27%"
"05/03/2024","16,400.0","16,600.0","16,950.0","16,400.0","7.98M","0.00%"
"05/02/2024","16,400.0","16,150.0","16,400.0","15,900.0","7.06M","1.55%"
"04/26/2024","16,150.0","16,100.0","16,600.0","16,050.0","7.50M","-1.22%"
"04/25/2024","16,350.0","16,550.0","16,550.0","16,100.0","6.88M","-1.21%"
"04/24/2024","16,550.0","15,900.0","16,550.0","15,500.0","12.14M","6.77%"
"04/23/2024","15,500.0","16,100.0","16,200.0","15,500.0","11.68M","-3.13%"
"04/22/2024","16,000.0","16,000.0","16,200.0","15,850.0","13.35M","2.56%"
"04/19/2024","15,600.0","16,300.0","16,650.0","15,600.0","19.86M","-6.59%"
"04/17/2024","16,700.0","17,800.0","17,850.0","16,700.0","17.74M","-5.38%"
"04/16/2024","17,650.0","18,100.0","18,300.0","17,200.0","25.43M","-4.34%"
"04/15/2024","18,450.0","19,600.0","19,800.0","18,450.0","19.18M","-6.82%"
"04/12/2024","19,800.0","19,450.0","19,800.0","19,300.0","10.05M","2.86%"
"04/11/2024","19,250.0","19,200.0","19,600.0","19,100.0","15.78M","-1.79%"
"04/10/2024","19,600.0","20,150.0","20,200.0","19,600.0","11.01M","-2.73%"
"04/09/2024","20,150.0","19,800.0","20,150.0","19,550.0","10.78M","2.03%"
"04/08/2024","19,750.0","19,900.0","20,000.0","19,650.0","12.19M","-0.75%"
"04/05/2024","19,900.0","19,750.0","20,300.0","19,500.0","21.55M","-0.75%"
"04/04/2024","20,050.0","20,000.0","20,400.0","19,400.0","26.50M","0.25%"
"04/03/2024","20,000.0","20,850.0","20,850.0","20,000.0","24.05M","-3.85%"
"04/02/2024","20,800.0","20,050.0","20,800.0","19,800.0","28.18M","2.97%"
"04/01/2024","20,200.0","19,700.0","20,400.0","19,700.0","24.30M","1.76%"
"03/29/2024","19,850.0","20,000.0","20,050.0","19,600.0","13.38M","-0.75%"
"03/28/2024","20,000.0","20,550.0","20,550.0","19,900.0","16.96M","-1.48%"
"03/27/2024","20,300.0","19,950.0","20,300.0","19,700.0","21.34M","2.27%"
