"Date","Price","Open","High","Low","Vol.","Change %"
"03/22/2024","17,100","17,200","17,450","16,950","29.12M","0.00%"
"03/21/2024","17,100","16,800","17,100","16,600","42.48M","3.32%"
"03/20/2024","16,550","16,500","16,650","16,350","12.08M","0.30%"
"03/19/2024","16,500","16,900","16,900","16,500","9.76M","-1.20%"
"03/18/2024","16,700","16,500","17,100","16,150","36.47M","1.21%"
"03/15/2024","16,500","16,450","16,800","16,400","19.13M","0.30%"
"03/14/2024","16,450","16,650","16,750","16,350","16.14M","-0.60%"
"03/13/2024","16,550","16,300","16,550","16,250","19.86M","2.48%"
"03/12/2024","16,150","16,050","16,250","16,000","15.27M","0.62%"
"03/11/2024","16,050","16,500","16,500","16,000","23.74M","-2.73%"
"03/08/2024","16,500","16,950","17,050","16,450","34.02M","-2.37%"
"03/07/2024","16,900","16,800","17,000","16,700","19.48M","0.30%"
"03/06/2024","16,850","17,200","17,250","16,750","29.36M","-2.03%"
"03/05/2024","17,200","17,500","17,500","17,100","26.62M","-1.71%"
"03/04/2024","17,500","17,500","17,700","17,300","38.23M","1.16%"
"03/01/2024","17,300","17,150","17,400","17,050","21.86M","1.17%"
"02/29/2024","17,100","17,000","17,300","16,900","30.60M","0.59%"
"02/28/2024","17,000","17,150","17,200","16,850","14.95M","-0.29%"
"02/27/2024","17,050","16,950","17,100","16,750","22.16M","1.49%"
"02/26/2024","16,800","16,800","16,950","16,550","23.43M","0.90%"
"02/23/2024","16,650","17,100","17,250","16,600","37.28M","-2.63%"
"02/22/2024","17,100","17,350","17,400","17,100","22.16M","-1.44%"
"02/21/2024","17,350","17,700","17,800","17,300","30.97M","-1.14%"
"02/20/2024","17,550","17,550","17,650","17,300","36.29M","0.00%"
"02/19/2024","17,550","17,700","17,800","17,400","29.94M","-0.85%"
"02/16/2024","17,700","17,500","18,000","17,500","35.47M","1.14%"
"02/15/2024","17,500","17,500","17,650","17,300","25.95M","1.16%"
"02/07/2024","17,300","17,300","17,450","17,050","22.94M","0.29%"
"02/06/2024","17,250","17,000","17,500","17,000","32.14M","1.47%"
"02/05/2024","17,000","17,000","17,100","16,750","13.41M","0.00%"
"02/02/2024","17,000","16,700","17,350","16,650","66.16M","1.80%"
"02/01/2024","16,700","16,750","16,900","16,600","13.57M","0.00%"
"01/31/2024","16,700","17,000","17,050","16,600","25.86M","1.52%"
"01/30/2024","16,450","16,400","16,550","16,300","9.55M","0.30%"
"01/29/2024","16,400","16,650","16,750","16,350","8.98M","-1.20%"
"01/26/2024","16,600","16,600","16,900","16,600","10.34M","0.00%"
"01/25/2024","16,600","16,750","16,800","16,500","8.64M","-0.60%"
"01/24/2024","16,700","17,000","17,050","16,650","17.05M","-1.76%"
"01/23/2024","17,000","17,300","17,350","16,900","14.19M","-1.73%"
"01/22/2024","17,300","16,400","17,400","16,200","32.57M","5.49%"
